report_date,location,location_type,value
2016-04-02,Norte,region,6295
2016-04-02,Brazil-Rondonia,state,618
2016-04-02,Brazil-Acre,state,375
2016-04-02,Brazil-Amazonas,state,1520
2016-04-02,Brazil-Roraima,state,44
2016-04-02,Brazil-Para,state,771
2016-04-02,Brazil-Amapa,state,74
2016-04-02,Brazil-Tocantins,state,2893
2016-04-02,Nordeste,region,30286
2016-04-02,Brazil-Maranhao,state,1202
2016-04-02,Brazil-Piaui,state,7
2016-04-02,Brazil-Ceara,state,156
2016-04-02,Brazil-Rio_Grande_do_Norte,state,640
2016-04-02,Brazil-Paraiba,state,1060
2016-04-02,Brazil-Pernambuco,state,333
2016-04-02,Brazil-Alagoas,state,1479
2016-04-02,Brazil-Sergipe,state,348
2016-04-02,Brazil-Bahia,state,25061
2016-04-02,Sudeste,region,35505
2016-04-02,Brazil-Minas_Gerais,state,6693
2016-04-02,Brazil-Espirito_Santo,state,1382
2016-04-02,Brazil-Rio_de_Janeiro,state,25930
2016-04-02,Brazil-Sao_Paulo,state,1500
2016-04-02,Sul,region,1797
2016-04-02,Brazil-Parana,state,1540
2016-04-02,Brazil-Santa_Catarina,state,62
2016-04-02,Brazil-Rio_Grande_do_Sul,state,195
2016-04-02,Centro-Oeste,region,17504
2016-04-02,Brazil-Mato_Grosso_do_Sul,state,296
2016-04-02,Brazil-Mato_Grosso,state,16055
2016-04-02,Brazil-Goias,state,920
2016-04-02,Brazil-Distrito_Federal,state,233
2016-04-02,Brazil,country,91387
